iter	Passed	Remaining
0	293	292842
1	313	156608
2	334	111123
3	352	87674
4	366	73018
5	381	63156
6	396	56199
7	415	51494
8	431	47496
9	446	44170
10	461	41474
11	476	39191
12	490	37238
13	504	35562
14	519	34120
15	534	32855
16	550	31811
17	569	31082
18	592	30581
19	607	29779
20	623	29065
21	638	28377
22	652	27731
23	667	27143
24	682	26608
25	698	26177
26	722	26046
27	738	25647
28	754	25259
29	769	24880
30	784	24515
31	804	24327
32	821	24071
33	843	23954
34	874	24111
35	896	24018
36	914	23790
37	928	23504
38	944	23261
39	958	23010
40	973	22776
41	989	22564
42	1005	22369
43	1020	22165
44	1036	21999
45	1062	22025
46	1078	21866
47	1094	21697
48	1109	21523
49	1123	21347
50	1138	21177
51	1162	21201
52	1180	21101
53	1197	20973
54	1215	20886
55	1230	20747
56	1245	20610
57	1260	20470
58	1287	20541
59	1303	20427
60	1319	20309
61	1335	20212
62	1351	20101
63	1371	20051
64	1390	19999
65	1408	19926
66	1423	19821
67	1437	19704
68	1452	19593
69	1469	19525
70	1484	19428
71	1499	19324
72	1513	19217
73	1529	19140
74	1543	19039
75	1557	18939
76	1572	18847
77	1586	18756
78	1600	18663
79	1619	18618
80	1634	18548
81	1649	18469
82	1665	18397
83	1679	18316
84	1693	18232
85	1707	18150
86	1721	18070
87	1736	17996
88	1752	17941
89	1783	18028
90	1799	17971
91	1814	17903
92	1829	17841
93	1845	17784
94	1859	17711
95	1874	17651
96	1894	17633
97	1908	17570
98	1923	17506
99	1942	17484
100	1964	17487
101	1980	17433
102	1995	17379
103	2011	17330
104	2027	17278
105	2041	17220
106	2056	17161
107	2071	17109
108	2085	17051
109	2100	16991
110	2114	16933
111	2129	16881
112	2161	16967
113	2178	16927
114	2193	16881
115	2208	16830
116	2223	16777
117	2237	16722
118	2251	16667
119	2265	16613
120	2280	16564
121	2294	16509
122	2308	16462
123	2323	16411
124	2337	16359
125	2354	16334
126	2369	16290
127	2383	16235
128	2397	16189
129	2412	16145
130	2431	16129
131	2447	16093
132	2463	16061
133	2490	16094
134	2507	16063
135	2524	16039
136	2540	16000
137	2555	15962
138	2571	15930
139	2585	15882
140	2602	15852
141	2616	15810
142	2631	15772
143	2646	15729
144	2660	15689
145	2679	15671
146	2693	15629
147	2712	15614
148	2734	15619
149	2752	15596
150	2768	15564
151	2787	15553
152	2810	15558
153	2826	15528
154	2847	15520
155	2865	15502
156	2878	15458
157	2898	15447
158	2923	15462
159	2940	15438
160	2956	15409
161	2972	15374
162	2999	15399
163	3018	15386
164	3034	15354
165	3048	15317
166	3063	15282
167	3077	15243
168	3092	15205
169	3106	15168
170	3121	15131
171	3135	15092
172	3149	15054
173	3163	15016
174	3177	14978
175	3194	14956
176	3209	14922
177	3223	14885
178	3237	14847
179	3252	14815
180	3270	14796
181	3283	14759
182	3297	14723
183	3312	14689
184	3326	14653
185	3339	14616
186	3365	14630
187	3381	14603
188	3396	14573
189	3414	14558
190	3431	14536
191	3449	14516
192	3466	14495
193	3483	14474
194	3507	14479
195	3523	14451
196	3538	14423
197	3553	14392
198	3568	14362
199	3582	14328
200	3596	14297
201	3611	14266
202	3624	14231
203	3638	14199
204	3652	14166
205	3669	14144
206	3683	14110
207	3701	14094
208	3715	14061
209	3729	14028
210	3744	14000
211	3758	13970
212	3773	13941
213	3787	13911
214	3801	13881
215	3816	13850
216	3831	13824
217	3847	13801
218	3864	13782
219	3878	13750
220	3893	13724
221	3908	13695
222	3922	13666
223	3936	13635
224	3951	13609
225	3965	13581
226	3981	13556
227	3995	13529
228	4010	13502
229	4026	13481
230	4041	13454
231	4055	13425
232	4072	13406
233	4086	13378
234	4101	13350
235	4115	13321
236	4129	13293
237	4154	13300
238	4172	13287
239	4188	13263
240	4203	13238
241	4219	13216
242	4233	13187
243	4248	13162
244	4264	13141
245	4278	13114
246	4294	13090
247	4308	13063
248	4329	13057
249	4351	13055
250	4367	13031
